bias_png,numeric_ranking
extremeleft01,-35
extremeleft02,-34
extremeleft03,-33
extremeleft04,-32
extremeleft05,-31
extremeleft06,-30
left1,-29
left2,-28
left3,-27
left4,-26
left5,-25
left6,-24
left7,-23
left8,-22
left9,-21
left10,-20
left11,-19
left12,-18
leftcenter01,-17
leftcenter02,-16
leftcenter03,-15
leftcenter04,-14
leftcenter05,-13
leftcenter06,-12
leftcenter07,-11
leftcenter08,-10
leftcenter09,-9
leftcenter10,-8
leftcenter11,-7
leftcenter12,-6
leastbiased011,-5
leastbiased021,-4
leastbiased031,-3
leastbiased041,-2
leastbiased051,-1
leastbiased061,0
leastbiased071,1
leastbiased081,2
leastbiased091,3
leastbiased101,5
rightcenter12,6
rightcenter11,7
rightcenter10,8
rightcenter09,9
rightcenter08,10
rightcenter07,11
rightcenter06,12
rightcenter05,13
rightcenter04,14
rightcenter03,15
rightcenter02,16
rightcenter01,17
right12,18
right11,19
right10,20
right09,21
right08,22
right07,23
right06,24
right05,26
right04,27
right03,28
right02,29
right01,30
extremeright06,31
extremeright05,32
extremeright03,33
extremeright02,34
extremeright01,35